"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Feature_collage.svg", "XML", 0, 0, 0, 263, 0, 1, 264
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/HomePage.jsx", "JavaScript JSX", 0, 206, 0, 0, 20, 10, 236
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Login.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 3, 67
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/FeatureEngineeringSlice.js", "JavaScript", 64, 0, 0, 0, 1, 4, 69
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/ModelBuilding.js", "JavaScript", 30, 0, 0, 0, 2, 4, 36
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/NodeBasedSlices/EDASlice.js", "JavaScript", 33, 0, 0, 0, 1, 4, 38
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/SideBarSlice.js", "JavaScript", 18, 0, 0, 0, 1, 4, 23
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/UploadedFileSlice.js", "JavaScript", 18, 0, 0, 0, 1, 4, 23
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/TempPage.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 4, 25
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/index.css", "CSS", 0, 0, 28, 0, 1, 8, 37
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/main.jsx", "JavaScript JSX", 0, 41, 0, 0, 2, 2, 45
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/store.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/util/NodeFunctions.js", "JavaScript", 67, 0, 0, 0, 1, 6, 74
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/util/indexDB.js", "JavaScript", 214, 0, 0, 0, 5, 46, 265
"Total", "-", 459, 13070, 65, 263, 194, 1010, 15061
